rated,turns,victory_status,winner,white_rating,black_rating,opening_eco,opening_ply
FALSE,13,outoftime,white,1500,1191,D10,5
TRUE,16,resign,black,1322,1261,B00,4
TRUE,61,mate,white,1496,1500,C20,3
TRUE,61,mate,white,1439,1454,D02,3
TRUE,95,mate,white,1523,1469,C41,5
FALSE,5,draw,draw,1250,1002,B27,4
TRUE,33,resign,white,1520,1423,D00,10
FALSE,9,resign,black,1413,2108,B00,5
TRUE,66,resign,black,1439,1392,C50,6
TRUE,119,mate,white,1381,1209,B01,4
FALSE,39,mate,white,1381,1272,A00,1
FALSE,38,resign,black,1381,1867,C02,9
FALSE,60,resign,black,1381,1936,C00,3
FALSE,31,resign,black,1381,1607,C00,2
FALSE,31,mate,white,1094,1141,C50,8
FALSE,43,resign,black,1141,1094,C57,7
FALSE,52,resign,black,1094,1141,C50,8
FALSE,66,mate,black,1141,1094,C50,8
FALSE,101,resign,black,1094,1300,C41,5
FALSE,25,resign,white,1500,1094,D00,2
FALSE,14,resign,black,1094,1676,C55,6
FALSE,3,resign,white,1094,1068,A40,2
FALSE,17,resign,white,1500,1094,B20,3
TRUE,36,resign,white,1307,1106,A25,4
TRUE,13,resign,black,1113,1423,B21,3
TRUE,69,mate,white,1078,1219,D01,4
TRUE,43,resign,white,1825,1079,C45,8
TRUE,54,mate,black,1328,1038,D01,4
TRUE,53,resign,black,1056,1156,D10,4
TRUE,66,mate,black,1077,1148,D06,4
TRUE,64,resign,black,1358,1036,B21,3
TRUE,64,mate,black,1200,1002,B52,6
TRUE,54,resign,white,1203,1019,B27,3
FALSE,21,resign,black,1019,1500,D20,6
FALSE,11,resign,white,1422,975,B20,3
TRUE,19,resign,black,976,1832,B06,4
TRUE,28,resign,white,1569,978,D00,10
FALSE,22,resign,black,978,1500,A45,2
FALSE,37,resign,white,1500,978,B77,17
FALSE,34,resign,white,2449,978,A21,3
FALSE,32,draw,draw,1207,978,B70,10
FALSE,71,resign,black,1241,978,B23,3
FALSE,30,resign,white,1500,978,B21,3
FALSE,66,resign,white,2443,978,B76,17
FALSE,41,resign,white,1500,978,B21,3
FALSE,49,resign,white,1500,978,B20,3
FALSE,3,resign,black,978,1500,B01,2
FALSE,7,resign,white,1343,978,B20,3
FALSE,35,mate,white,2436,978,B77,17
FALSE,41,mate,white,2436,978,B01,4
FALSE,5,resign,black,978,1500,C00,3
FALSE,7,resign,white,1500,978,C21,4
